Wiederaufnahme der Sitzungsperiode	Resumption of the session
Frau Präsidentin, um beiden Themen gerecht zu werden, sollten wir die Lage in Algerien vielleicht unter dem Punkt "Menschenrechte " behandeln, so dass alle vorgeschlagenen Themen berücksichtigt werden können.	Madam President, in order to avoid competition arising between these two issues, would it perhaps be possible to discuss the situation in Algeria in the 'human rights' section, in which case, all the issues proposed could be dealt with.
Frau Präsidentin!	Madam President, I would like to continue with the subject of the Thursday sitting.
Ich möchte noch etwas zur Sitzung am Donnerstag anmerken und auf den Arbeitsplan verweisen, wonach die Aussprache über die Berichte noch nach 17.30 Uhr bis 18.30 Uhr weitergeführt wird.	I would like to draw your attention to the plan for Thursday' s sitting, which has the debate on reports continuing after 5.30 p.m. until 6.30 p.m..
Dabei soll zu meiner Überraschung auch der Bericht über den Stand der Wettbewerbsfähigkeit der holzverarbeitenden Industrie und verwandter Industriezweige in der EU behandelt werden, den ich für den Ausschuss für Industrie, Außenhandel, Forschung und Entwicklung verfasst habe.	Surprisingly, the report to be discussed at that time concerns the competitiveness of forest-based industries, which I tabled for the Committee on Industry, External Trade, Research and Energy.
Anschließend, nach 18.30 Uhr, erfolgt die Abstimmung über diesen Bericht, in dem es um die Arbeitsplätze von vier Millionen europäischen Arbeitnehmern und die Wettbewerbsfähigkeit dieses Industriezweiges und damit in Verbindung stehender Branchen geht.	After that, at 6.30 p.m., there is the vote on this report, which affects the jobs of four million employees in Europe and competition in this industry and other related industries.
Meiner Ansicht nach geraten wir mit dem Arbeitsplan für Donnerstag in große Schwierigkeiten, weil die Sitzungen am Freitag gestrichen worden sind und wir noch um 17.30 Uhr einen Bericht behandeln, der die Arbeitsplätze von vier Millionen Arbeitnehmern betrifft.	In my opinion, if we have to debate a report like this one, which affects the jobs of four million people, at 5.30 p.m., then the plan for Thursday' s sitting has run up against very big problems as a result of the Friday sittings being discontinued.
Ich weiß, dass zur Abstimmung höchstens noch ein paar Dutzend Kollegen anwesend sein werden.	I know that a few dozen people at most will remain to vote.
Es untergräbt das Ansehen des Parlaments, wenn wir mit so wenigen Abgeordneten zu einem derart weitreichenden Bericht Stellung nehmen.	It is degrading for Parliament that we should adopt a position on a report on such a wide issue with such a small group of Members.
Deshalb sollten meiner Meinung nach in der Abendsitzung am Donnerstag nur über dringende Angelegenheiten abgestimmt und die Abstimmungen zu den eigentlichen Berichten von Donnerstagabend auf die Tagesordnung der nächsten Sitzung in Brüssel vertagt werden.	For this reason I would prefer it if Thursday' s evening sitting could be used just to vote on urgent matters, and voting connected with actual reports could be switched to the agenda for the next Brussels part-session.
Frau Präsidentin! Ich habe eine Frage zur Geschäftsordnung.	Madam President, on a point of order.
Ich weise darauf hin, dass in den letzten 24 Stunden in Moskau alarmierende Ereignisse vor sich gegangen sind, die vor allem gegen die unabhängigen Medien und die Pressefreiheit gerichtet sind.	I draw your attention to the fact that alarming events have been taking place in Moscow in the past 24 hours, mainly aimed at the independent media and the freedom of the press.
Die Media-Most-Gruppe betreibt das unabhängige Fernsehen Russlands sowie eine Reihe von Hörfunkstationen und unabhängigen Zeitschriften.	Media-Most runs the independent television of Russia and its organisation has a number of radio stations and independent magazines.
Gestern wurde der Vizepräsident von Media-Most, Andrej Tsimajlo, verhaftet und einem fünfstündigen Verhör unterzogen, woraufhin der Finanzdirektor des unabhängigen Fernsehens, Anton Titow, im Hause seiner Mutter verhaftet wurde - nachdem sich die Sicherheitskräfte mit Gewalt dort Einlass verschafft hatten.	Mr Andrey Tsimaylo, the deputy chairman of Media-Most, was yesterday arrested and subjected to five hours of interrogation, following which Mr Anton Titov, the financial director of independent television, was arrested at the home of his mother, the door having been broken in by the security police.
Just in dem Moment, da wir hier sitzen, werden weitere nachrangige Angestellte des unabhängigen Fernsehens verhaftet und verhört.	A number of other junior employees of independent television are being arrested and interrogated as we sit here now.
Das ist eine alarmierende Entwicklung und geht über die persönliche Frage von Herrn Gusinsky hinaus, die ich bereits zu einem früheren Zeitpunkt aufgeworfen habe, und wie bekannt ist, berate ich ihn.	This is an alarming development and it goes beyond the personal question of Mr Gusinsky, which I have raised before and, as is well known, I am an adviser to him.
Frau Präsidentin, könnten wir diese Angelegenheit erörtern?	Madam President, could we take this matter into consideration?
Sie sind im Juni mit dem Vizepräsidenten von Media-Most, Herrn Malaschenko, zusammengetroffen.	You met the deputy chairman of Media-Most in June, Mr Malashenko.
Sie haben mit ihm darüber gesprochen, dass die Regierung in der Frage der Pressefreiheit Druck ausübt, und vorgeschlagen, dass etwas unternommen werden sollte.	You spoke to him about this problem of government pressure on freedom of the press and you suggested that something should be done.
Können wir versuchen, eine Möglichkeit zu finden, der russischen Regierung unsere Ansichten deutlich zu machen und die Frage der Presse- und Meinungsfreiheit zu klären, die die Beziehungen zwischen der Russischen Föderation und der Europäischen Union belastet?	Can we try to find some way of conveying our views to the Russian Government and sorting out this question of freedom of the press and expression which bedevils relations between the Russian Federation and the European Union?
Frau Präsidentin, mir fällt ein, dass Ihnen Präsident Ben Ali im Anschluss an die Entschließung zu Tunesien, die wir im Dezember verabschiedet haben, ein, nun, nennen wir es Höflichkeitsschreiben übermittelt hat.	Madam President, if I recall correctly, following the resolution on Tunisia which we adopted in December, President Ben Ali was supposed to have sent you, shall we say, a letter of courtesy.
Wenn dies der Fall ist, könnten Sie uns dann über dessen Inhalt in Kenntnis setzten?	If this is correct, would you share the contents of that letter with us?
Nein, dieses Schreiben scheint mich nicht erreicht zu haben.	I have not received any such letter.
Wenn dies der Fall gewesen wäre, hätte ich das Haus natürlich unverzüglich darüber in Kenntnis gesetzt.	If I had, I would naturally have informed the House.
Frau Präsidentin, in diesen Tagen und zur Stunde mehren sich die Meldungen über die Zunahme schwerer Erkrankungen, denen junge Militärangehörige und viele Zivilisten infolge der radioaktiven Verseuchung durch den Einsatz von Waffen mit Köpfen aus abgereichertem Uran zum Opfer fallen.	Madam President, in recent days, even as we speak, reports have been flooding in of the increasing number of cases of young soldiers and many civilians who have fallen victim to extremely serious illnesses linked to radioactive pollution caused by the use of weapons with depleted uranium warheads.
Meines Erachtens sollten wir als Erstes den Hinterbliebenen der jungen Soldaten, europäischen Zivilisten und Bürger der Republik Jugoslawien, die infolge der durch die NATO-Bomben verursachten radioaktiven Verseuchung den Tod fanden, unser tief empfundenes Beileid bekunden.	Firstly, Madam President, I am sure we would all wish to send our deepest sympathy to the families of the young soldiers, the European civilians and the citizens of the Federal Republic of Yugoslavia on the death of their loved ones following radioactive pollution from NATO shells.
Als Zweites möchte ich Ihnen sagen, dass Ihre Erklärungen zum Thema "abgereichertes Uran " meine große Wertschätzung finden, und dass ich mich insbesondere Ihrer Forderung nach einem sofortigen Verbot dieser tödlichen Waffen anschließe.	Secondly, I must tell you that I greatly welcome your statements on the depleted uranium issue. In particular, I support your call for an urgent ban on the use of these lethal shells.
Ich bin mir dessen wohl bewusst, dass manche einen Zusammenhang zwischen diesen Todes- bzw. Krankheitsfällen und dem Einsatz uranhaltiger Munition bestreiten, doch ich weiß auch, dass kein General in der Lage ist, das Gegenteil zu beweisen.	I am quite aware that some people deny that there is any association between the deaths and ill health and the use of the shells, but I also know that no military authority is able to prove the contrary.
Deshalb halte ich, wenn schon kein sofortiges Verbot erwirkt werden kann, ein unverzügliches Moratorium für unerlässlich, denn obgleich gegenwärtig keine Kriege stattfinden, in denen derartige Geschosse zum Einsatz kommen, werden sie doch weiterhin zu Übungszwecken verwendet.	Therefore, if it is not possible to obtain an immediate ban, it is essential to impose an immediate moratorium, for although these shells are not currently in use in war they continue to be used in exercises.
